,Countries,Total Cases,Todays Cases,Total Deaths
187,Gambia,47,,2 
188,Macao,46,, 
189,Saint Martin,43,,3 
190,Turks and Caicos,41,,2 
191,St. Vincent Grenadines,29,, 
192,Lesotho,27,, 
193,Belize,24,,2 
194,Timor-Leste,24,, 
195,Curaçao,23,,1 
196,Grenada,23,, 
197,New Caledonia,21,, 
198,Laos,19,, 
199,Saint Lucia,19,, 
200,Dominica,18,, 
201,Fiji,18,, 
202,Saint Kitts and Nevis,15,, 
203,Falkland Islands,13,, 
204,Greenland,13,, 
205,Vatican City,12,, 
206,Montserrat,11,,1 
207,Papua New Guinea,11,, 
208,Western Sahara,10,,1 
209,MS Zaandam,9,,2 
210,British Virgin Islands,8,,1 
211,Caribbean Netherlands,7,, 
212,St. Barth,6,, 
213,Anguilla,3,, 
214,Saint Pierre Miquelon,1,, 
215,China,"83,531",+19,"4,634 "
